epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_run
1,1302.31,3.21937,3.69273,3.72512,0.35871,0.07973,0.02096,0.00688,2.45412,5.38642,3.04575,0.000473964,0.000473964,0.000473964,train7
2,1655.3,3.21937,3.69273,3.72512,0.35871,0.07973,0.02096,0.00688,2.45412,5.38642,3.04575,0.000473964,0.000473964,0.000473964,train8
3,3281.99,2.37059,2.94537,2.65924,0.13344,0.28623,0.09704,0.05,1.88005,3.2459,2.33088,0.000940889,0.000940889,0.000940889,train8
4,4475.24,2.04324,2.63305,2.2694,0.1018,0.41143,0.09675,0.05445,1.68349,4.48777,2.06783,0.00139838,0.00139838,0.00139838,train8
5,4682.48,2.04545,2.62924,2.26957,0.13811,0.23436,0.1025,0.0633,1.67554,4.06525,2.0617,0.00137014,0.00137014,0.00137014,train10
6,5983.14,1.91299,2.4483,2.09158,0.14223,0.27181,0.11492,0.06998,1.64465,3.00769,2.0093,0.00134412,0.00134412,0.00134412,train10
7,7175.33,1.83065,2.34209,1.97921,0.20303,0.3162,0.17283,0.10857,1.47257,2.9364,1.84406,0.00131582,0.00131582,0.00131582,train10
8,9078.79,1.76137,2.24651,1.90221,0.14578,0.29169,0.13945,0.08536,1.48602,3.18466,1.83489,0.00128753,0.00128753,0.00128753,train10
9,10311.9,1.74454,2.20975,1.86958,0.21503,0.41404,0.23467,0.15629,1.3846,2.42089,1.72453,0.00125923,0.00125923,0.00125923,train10
10,11415.7,1.69611,2.16204,1.84295,0.22423,0.31842,0.18927,0.1194,1.44605,2.31699,1.76309,0.00123094,0.00123094,0.00123094,train10
11,12534.3,1.66781,2.07704,1.78975,0.24499,0.3495,0.23036,0.15232,1.33355,2.39335,1.66969,0.00120265,0.00120265,0.00120265,train10
12,13691.1,1.64164,2.03046,1.75533,0.27986,0.38645,0.23278,0.15424,1.38096,2.13829,1.6938,0.00117435,0.00117435,0.00117435,train10
13,15522.9,1.62135,1.96153,1.73173,0.23981,0.40455,0.23256,0.16133,1.28434,2.11608,1.62794,0.00114606,0.00114606,0.00114606,train10
14,17572.3,1.59378,1.97746,1.72685,0.2245,0.46358,0.21326,0.14282,1.2918,2.61544,1.63368,0.00111776,0.00111776,0.00111776,train10
15,19172.6,1.58148,1.93206,1.71216,0.24748,0.3994,0.2204,0.15202,1.21912,2.18858,1.58789,0.00108947,0.00108947,0.00108947,train10
16,1504.1,1.55097,1.837,1.68548,0.25101,0.4654,0.24502,0.16017,1.26566,2.10848,1.59013,0.000473964,0.000473964,0.000473964,train11
17,3889.15,1.50306,1.75191,1.64832,0.28381,0.37366,0.2508,0.166,1.26603,2.0952,1.59399,0.000473964,0.000473964,0.000473964,train12
18,1217.88,1.46681,1.67901,1.62166,0.28367,0.37744,0.25925,0.17328,1.26154,2.04802,1.59494,0.000473964,0.000473964,0.000473964,train13
19,2408.9,1.54912,1.82552,1.68131,0.27691,0.46568,0.26588,0.17236,1.29514,2.13703,1.62252,0.000924164,0.000924164,0.000924164,train13
20,3588.85,1.5693,1.86944,1.68518,0.30807,0.48731,0.29966,0.20215,1.23001,2.26281,1.58698,0.00134817,0.00134817,0.00134817,train13
21,4916.84,1.56617,1.84918,1.68324,0.32786,0.33211,0.25879,0.17447,1.22568,2.04004,1.58377,0.00131111,0.00131111,0.00131111,train13
22,6614.65,1.54451,1.83887,1.65595,0.28225,0.50131,0.29388,0.2013,1.23805,2.07637,1.57017,0.00127181,0.00127181,0.00127181,train13
23,8235.92,1.53632,1.80794,1.65141,0.24413,0.33291,0.24284,0.16329,1.28518,2.45434,1.5729,0.00123251,0.00123251,0.00123251,train13
24,9588.52,1.53593,1.79951,1.65524,0.3437,0.39491,0.33102,0.22938,1.25448,1.97056,1.56998,0.00119322,0.00119322,0.00119322,train13
25,14212.0,1.50622,1.77529,1.64883,0.33765,0.43324,0.32724,0.22992,1.21506,1.80853,1.55264,0.00115392,0.00115392,0.00115392,train13
26,16280.4,1.50347,1.73999,1.62261,0.37687,0.41803,0.29294,0.19932,1.16499,2.10884,1.51509,0.00111462,0.00111462,0.00111462,train13
27,17527.7,1.49447,1.72155,1.6115,0.31936,0.48476,0.32949,0.23474,1.18863,1.86535,1.51664,0.00107532,0.00107532,0.00107532,train13
28,18922.4,1.48379,1.67218,1.60317,0.37103,0.45967,0.34805,0.24958,1.16325,1.75189,1.50317,0.00103602,0.00103602,0.00103602,train13
29,22394.6,1.46044,1.69635,1.59544,0.32809,0.44018,0.31628,0.22717,1.15098,2.05369,1.48175,0.000996727,0.000996727,0.000996727,train13
30,24333.5,1.45879,1.64885,1.59139,0.3362,0.45065,0.29458,0.21321,1.11122,1.89314,1.48014,0.00095743,0.00095743,0.00095743,train13
31,26219.7,1.45989,1.65944,1.60458,0.32915,0.48409,0.33981,0.2464,1.0811,1.79799,1.45026,0.000918132,0.000918132,0.000918132,train13
32,27871.6,1.4496,1.63048,1.58458,0.30106,0.51929,0.30324,0.22085,1.12864,2.20922,1.45745,0.000878835,0.000878835,0.000878835,train13
33,29349.7,1.44516,1.59734,1.56387,0.36253,0.46348,0.32876,0.23649,1.11933,1.89485,1.4696,0.000839537,0.000839537,0.000839537,train13
